sample_id,mesh,vol_cor,sieve,ww,biomass,processor_notes
JSPK1054,250,26.52385685,1000,207.1,7.808065063,
JSPK1054,250,26.52385685,250,5189.9,195.6691302,
JSPK1054,250,26.52385685,2000,207.8,7.834456398,non-gelatinous
JSPK1112,250,21.70554094,250,8549,393.8625636,
JSPK1112,250,21.70554094,2000,10819.6,498.4717971,gelatinous
JSPK1112,250,21.70554094,1000,37,1.704633858,
JSPK1135,250,15.03887957,250,1434.4,95.37944588,
JSPK1135,250,15.03887957,2000,4.4,0.292574987,non-gelatinous
JSPK1135,250,15.03887957,2000,13678.5,909.5424919,gelatinous
JSPK1135,250,15.03887957,1000,247.2,16.43739474,
QPK1019,250,11.25197,250,3363.8,298.9520946,
QPK1019,250,11.25197,1000,22.7,2.017424504,
QPK1041,250,15.0608478,250,2824.3,187.5259638,
QPK1041,250,15.0608478,2000,14838.6,985.2433407,gelatinous
QPK1041,250,15.0608478,1000,1084,71.97469986,
QPK1049,250,16.88057615,250,332.1,19.67349912,
QPK1049,250,16.88057615,2000,0.8,0.047391747,gelatinous
QPK1049,250,16.88057615,1000,7.7,0.456145568,
QPK731,250,5.285355957,2000,96.8,18.31475511,gelatinous
QPK731,250,5.285355957,1000,472.3,89.36011195,
QPK731,250,5.285355957,250,4154.6,786.0586938,
QPK751,250,7.277517206,250,945.6,129.9344231,
QPK751,250,7.277517206,2000,853.5,117.2790082,gelatinous
QPK751,250,7.277517206,1000,6.4,0.8794208,
JSPK1093,250,16.41211502,2000,140.8,8.579028348,
JSPK1093,250,16.41211502,1000,72.3,4.405282312,
JSPK1093,250,16.41211502,250,4509.5,274.7665365,
JSPK1031,250,25.79936958,2000,23.4,0.906998907,gelatinous
JSPK1031,250,25.79936958,2000,4.1,0.158918612,non-gelatinous
JSPK1031,250,25.79936958,1000,12,0.465127644,
JSPK1031,250,25.79936958,250,2858.7,110.8050331,
JSPK1122,250,15.57725081,2000,121.4,7.793416276,gelatinous
JSPK1122,250,15.57725081,2000,46.2,2.965863525,non-gelatinous
JSPK1122,250,15.57725081,1000,140.5,9.019563318,
JSPK1122,250,15.57725081,250,1694.2,108.7611685,
JSPK1123,250,15.37479845,2000,874.4,56.87229025,gelatinous
JSPK1123,250,15.37479845,1000,121.6,7.909046769,
JSPK1123,250,15.37479845,250,1294.7,84.20923398,
QPK1043,250,14.3561305,2000,189.4,13.19297007,gelatinous
QPK1043,250,14.3561305,1000,10.4,0.724429191,
QPK1043,250,14.3561305,250,2484,173.0271259,
QPK711,250,2.45899521,2000,162.1,65.92123455,gelatinous
QPK711,250,2.45899521,1000,7.1,2.887358207,
QPK711,250,2.45899521,250,2800.3,1138.798477,
QPK734,250,24.81309314,2000,1210.8,48.7968184,gelatinous
QPK734,250,24.81309314,2000,181.1,7.298566083,non-gelatinous
QPK734,250,24.81309314,1000,209.6,8.447153235,
QPK734,250,24.81309314,250,2363.7,95.26019133,
QPK747,250,13.86665905,250,7890.7,569.0411779,Sample is very thick with diatoms! Had to split more than normal to get past all the diatoms. Will affect weight